M,noise_percent,iterations,converged,initial_acc,final_acc
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
2000,30.0,2,True,1.0,1.0
